section,field_path,play_console_question,data_category,data_type,draft_answer,response_value,review_status,confidence,evidence_refs,notes
global_question,global_questions.does_app_collect_or_share_user_data,does_app_collect_or_share_user_data,,,YES_CANDIDATE,,NEED_HUMAN,0.75,evidence.0052;evidence.0053;evidence.0054;evidence.0104;evidence.0105;evidence.0106;evidence.0107;evidence.0108;evidence.0073;evidence.0074;evidence.0075;evidence.0076;evidence.0077;evidence.0078;evidence.0094;evidence.0095;evidence.0096;evidence.0097;evidence.0098;evidence.0099;evidence.0005;evidence.0007;evidence.0008;evidence.0009;evidence.0006;evidence.0127;evidence.0128;evidence.0144;evidence.0145;evidence.0111,Google Play Console 支持从 Data safety 页面导出/导入 CSV，并可下载 sample CSV；本 CSV 是证据草稿映射，不是官方导出的可直接导入模板。
global_question,global_questions.is_all_user_data_collected_encrypted_in_transit,is_all_user_data_collected_encrypted_in_transit,,,NEED_HUMAN,,NEED_HUMAN,0.0,,静态扫描不能证明所有传输路径均使用加密，也不能证明第三方 SDK 传输行为。
global_question,global_questions.can_users_request_data_deletion,can_users_request_data_deletion,,,YES_CANDIDATE,,NEED_HUMAN,0.65,evidence.0294;evidence.0304;evidence.0313;evidence.0314;evidence.0320;evidence.0332;evidence.0333,Play Console 需要确认删除请求机制；如果 app 支持账号创建，还需要确认账号和关联数据删除路径。
global_question,global_questions.privacy_policy_url,privacy_policy_url,,,NEED_HUMAN,,NEED_HUMAN,0.1,,必须由人工确认这是 app 自有、公开可访问且覆盖当前数据行为的隐私政策 URL。
global_question,global_questions.third_party_sdk_or_external_sharing,third_party_sdk_or_external_sharing,,,YES_CANDIDATE,,NEED_HUMAN,0.7,evidence.0005;evidence.0007;evidence.0008;evidence.0009;evidence.0006,Google Play Console 支持从 Data safety 页面导出/导入 CSV，并可下载 sample CSV；本 CSV 是证据草稿映射，不是官方导出的可直接导入模板。
global_question,global_questions.tracking,tracking,,,YES_CANDIDATE,,NEED_HUMAN,0.65,evidence.0012;evidence.0013;evidence.0015;evidence.0016;evidence.0018;evidence.0019;evidence.0021;evidence.0022;evidence.0023;evidence.0025;evidence.0040;evidence.0044,Google Play Console 支持从 Data safety 页面导出/导入 CSV，并可下载 sample CSV；本 CSV 是证据草稿映射，不是官方导出的可直接导入模板。
global_question,global_questions.children_or_sensitive_data_risk,children_or_sensitive_data_risk,,,YES_CANDIDATE,,NEED_HUMAN,0.7,evidence.0407;evidence.0408;evidence.0409;evidence.0410;evidence.0411;evidence.0412;evidence.0413;evidence.0414;evidence.0415;evidence.0416;evidence.0417;evidence.0418;evidence.0419;evidence.0420;evidence.0421;evidence.0422;evidence.0423;evidence.0424;evidence.0425;evidence.0426;evidence.0127;evidence.0128;evidence.0144;evidence.0145;evidence.0111;evidence.0112;evidence.0115;evidence.0116;evidence.0117;evidence.0049,Google Play Console 支持从 Data safety 页面导出/导入 CSV，并可下载 sample CSV；本 CSV 是证据草稿映射，不是官方导出的可直接导入模板。
data_type,data_types[0].collected,collected,App activity,App interactions,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0052;evidence.0053;evidence.0054;evidence.0104;evidence.0105;evidence.0106;evidence.0107;evidence.0108,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[0].shared,shared,App activity,App interactions,NO_NOT_OBSERVED,,NEED_HUMAN,0.65,evidence.0052;evidence.0053;evidence.0054;evidence.0104;evidence.0105;evidence.0106;evidence.0107;evidence.0108,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[0].processed_ephemerally,processed_ephemerally,App activity,App interactions,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0052;evidence.0053;evidence.0054;evidence.0104;evidence.0105;evidence.0106;evidence.0107;evidence.0108,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[0].required_or_optional,required_or_optional,App activity,App interactions,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0052;evidence.0053;evidence.0054;evidence.0104;evidence.0105;evidence.0106;evidence.0107;evidence.0108,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[0].purposes,purposes,App activity,App interactions,Analytics,,NEED_HUMAN,0.65,evidence.0052;evidence.0053;evidence.0054;evidence.0104;evidence.0105;evidence.0106;evidence.0107;evidence.0108,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[0].linked_to_identity,linked_to_identity,App activity,App interactions,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0052;evidence.0053;evidence.0054;evidence.0104;evidence.0105;evidence.0106;evidence.0107;evidence.0108,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[0].used_for_tracking,used_for_tracking,App activity,App interactions,NO_NOT_OBSERVED,,NEED_HUMAN,0.65,evidence.0052;evidence.0053;evidence.0054;evidence.0104;evidence.0105;evidence.0106;evidence.0107;evidence.0108,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[1].collected,collected,App info and performance,Diagnostics,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0073;evidence.0074;evidence.0075;evidence.0076;evidence.0077;evidence.0078;evidence.0094;evidence.0095;evidence.0096;evidence.0097;evidence.0098;evidence.0099;evidence.0005;evidence.0007;evidence.0008;evidence.0009;evidence.0006,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
